Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory,molprofil
X3873,paclitaxel,Tubulin,single,-62.4,49,-33.9,63,70.0,70,PR,X3873
X3880,dacarbazine,chemotherapy,single,153.4,22,78.0,12,9.2,22,PD,X3880
X3898,abraxane,Tubulin,single,146.2,20,20.6,12,14.2,40,PD,X3898
X3898,gemcitabine-50mpk,chemotherapy,single,23.6,17,14.5,14,58.9,109,SD-->PD,X3898
X3947,gemcitabine-50mpk,chemotherapy,single,-59.5,69,-9.6,82,82.0,82,SD,X3947
X3947,abraxane,Tubulin,single,-58.8,10,-27.5,13,33.9,45,PR-->PD,X3947
X3990,gemcitabine-50mpk,chemotherapy,single,-100.0,50,-55.0,88,6.7,88,CR,X3990
X3990,abraxane,Tubulin,single,346.0,21,57.4,11,10.9,21,PD,X3990
X4015,gemcitabine-50mpk,chemotherapy,single,-57.7,58,-26.2,90,90.0,90,PR,X4015
X4015,abraxane,Tubulin,single,298.4,15,96.3,12,8.3,15,PD,X4015
X4018,gemcitabine-50mpk,chemotherapy,single,19.9,34,18.5,12,42.6,68,SD-->PD,X4018
X4018,abraxane,Tubulin,single,162.0,20,10.1,11,14.7,34,PD,X4018
X4087,5FU,chemotherapy,single,84.4,20,3.8,11,20.0,20,PD,X4087
X4145,gemcitabine-50mpk,chemotherapy,single,-71.3,77,-27.6,91,91.0,91,PR-->PD,X4145
X4145,abraxane,Tubulin,single,302.7,20,73.7,13,9.8,20,PD,X4145
X4157,dacarbazine,chemotherapy,single,58.0,20,16.0,14,29.0,29,PD,X4157
X4215,abraxane,Tubulin,single,87.8,25,19.3,11,33.9,54,PD,X4215
X4215,gemcitabine-50mpk,chemotherapy,single,-77.2,39,-33.7,56,100.8,109,PR-->PD,X4215
X4226,abraxane,Tubulin,single,278.2,20,75.2,14,6.6,27,PD,X4226
X4226,gemcitabine-50mpk,chemotherapy,single,44.5,17,30.8,14,17.0,17,PD,X4226
X4316,gemcitabine-50mpk,chemotherapy,single,-80.0,77,-41.1,77,77.0,77,PR,X4316
X4316,abraxane,Tubulin,single,122.2,22,35.1,12,16.6,54,PD,X4316
X4339,dacarbazine,chemotherapy,single,9.7,15,13.1,15,15.0,15,SD,X4339
X4347,paclitaxel,Tubulin,single,78.5,24,31.5,13,32.2,62,PD,X4347
X4377,gemcitabine-50mpk,chemotherapy,single,-21.2,41,11.0,63,72.8,73,SD-->PD,X4377
X4377,abraxane,Tubulin,single,257.8,9,114.5,9,4.0,9,PD,X4377
